date,id,content,username,like,retweet,sentiment
2023-05-18 23:59:00+00:00,1659347890626768897,"Manajer Thailand Mundur Buntut Kerusuhan dengan Indonesia di Final SEA Games 2023
https://t.co/ZDr6yVmycX",MediaKomando,17,15,Neutral
2023-05-18 23:58:50+00:00,1659347846230069249,"@aaaaadjiiiii @simethidrink @idextratime Kan lu yg bandingin arak2an badminton jg dlu ada 

Sedangkan
Arak2an bola setelah emas Sea Games (ASEAN) 
Arak2an badminton setelah emas Olimpiade (Dunia) 

Dan perihal logo garuda, emg bener logo Garuda Indonesia 

Yg salah, komen dia kl PSSI sewa pesawat dibantu pemerintah",j_arga2,0,0,Negative
2023-05-18 23:58:34+00:00,1659347781130280961,Suar dan Yel-Yel Sambut Bus Timnas Indonesia U-22 di Jakarta usai Rebut Emas Sepak Bola SEA Games 2023 https://t.co/PvAMBg56SB,liputan6dotcom,1,0,Positive
2023-05-18 23:57:03+00:00,1659347396978151424,"Katanya bakal ada arak²an yg dapat emas sea games dari kemenpora, trus sepakbolanya bakal gabung sama yg lain gak ya? Atau bikin rute sendiri? 😅✌️",Mariayeyooo,0,0,Positive
2023-05-18 23:56:17+00:00,1659347204015026176,"Dengan menangnya Timnas U-22 di SEA Games, apakah PSSI akan fokus ke Timnas Putri dan Liga Putri juga? Duitnya kayaknya bakal lebih ngalir, nih.",aggidilimanto,0,0,Positive
2023-05-18 23:56:09+00:00,1659347171123302400,"Hari gini masih aje banggain seagames, kompetisi paling ga jelas yang aturannya bisa diubah seenak tuan rumah 😭",noctuvrne,0,0,Negative
2023-05-18 23:56:06+00:00,1659347157395333122,Timnas U-22 Indonesia yang Raih Medali Emas SEA Games 2023 Disambut Meriah di Tanah Air #TempoVideo https://t.co/5FXTpNG2i6,tempodotco,3,0,Neutral
2023-05-18 23:55:27+00:00,1659346995625222144,"@ardynshufi Om bukannya pemain2 muda ini seharusnya main di Sea Games, tapi karena generasi tuanya dipotong STY, maka pemain2 muda ini ""kecepetan"" masuk ke level senior ya?",andikasulaksana,0,0,Positive
2023-05-18 23:55:09+00:00,1659346921461538817,emas seagames udah kaya juara piala dunia aja diarak. abis ini pemainnya pada melempem dah pasti kena star syndrom,izgone48,0,0,Neutral
2023-05-18 23:54:15+00:00,1659346694012817408,"Emm untuk olahraga dgn asas fair play, ini agak ga fair ya. Klo mau diarak harusnya semua yg dpt emas diarak.
Voli tuh kayaknya bisa emas terus dari SEA Games tahun kapan. Badminton dapat emas dari 5 nomer pertandingan. Weighlifting byk rekor pecah. Why cuma sepakbola yg diarak?",Mariayeyooo,0,0,Positive
